,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
325187,I152052308,617,Larceny,LARCENY THEFT FROM BUILDING,C11,253,,2015-06-24 16:13:00,2015,6,Wednesday,16,Part One,PARK ST,42.30247547,-71.05307083,"(42.30247547, -71.05307083)"
61548,I182014289,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D4, ,,2018-02-23 13:15:00,2018,2,Friday,13,Part Three,COLUMBUS AVE,,,"(0.00000000, 0.00000000)"
97582,I172083462,3115,Investigate Person,INVESTIGATE PERSON,A1,63,,2017-10-06 14:27:00,2017,10,Friday,14,Part Three,STANIFORD ST,42.36371778,-71.06345153,"(42.36371778, -71.06345153)"
208595,I162071222,3115,Investigate Person,INVESTIGATE PERSON,C11,347,,2016-09-01 15:14:00,2016,9,Thursday,15,Part Three,LYON ST,42.30638323,-71.06021218,"(42.30638323, -71.06021218)"
73247,I182001861,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E13,655,,2018-01-08 14:30:00,2018,1,Monday,14,Part Three,CENTRE ST,42.30781083,-71.12306328,"(42.30781083, -71.12306328)"
137832,I172040602,2405,Disorderly Conduct,DISORDERLY CONDUCT,B2,586,,2017-05-23 09:50:00,2017,5,Tuesday,9,Part Two,TERRACE ST,42.32746198,-71.09852527,"(42.32746198, -71.09852527)"
177771,I162104417,3125,Warrant Arrests,WARRANT ARREST,D4,133,,2016-12-23 14:40:00,2016,12,Friday,14,Part Three,NEWBURY ST,42.35118005,-71.07666607,"(42.35118005, -71.07666607)"
56313,I182019914,619,Larceny,LARCENY ALL OTHERS,E13,303,,2018-03-16 16:48:00,2018,3,Friday,16,Part One,AMORY AVE,42.32066534,-71.10004987,"(42.32066534, -71.10004987)"
34027,I182043605,611,Larceny,LARCENY PICK-POCKET,D4,172,,2018-06-06 07:05:00,2018,6,Wednesday,7,Part One,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
144253,I172033763,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,520,,2017-04-30 14:41:00,2017,4,Sunday,14,Part One,HARVARD AVE,42.25839045,-71.12246295,"(42.25839045, -71.12246295)"
