,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
1052,I182078893,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,416,Y,2018-09-29 21:12:00,2018,9,Saturday,21,Part One,WASHINGTON ST,42.28164735,-71.07111848,"(42.28164735, -71.07111848)"
1053,I182078893,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,416,Y,2018-09-29 21:12:00,2018,9,Saturday,21,Part Two,WASHINGTON ST,42.28164735,-71.07111848,"(42.28164735, -71.07111848)"
1074,I182078872,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,330,Y,2018-09-29 19:21:00,2018,9,Saturday,19,Part One,SEAVER ST,42.30455372,-71.08295366,"(42.30455372, -71.08295366)"
1907,I182077958,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,428,Y,2018-09-26 20:20:00,2018,9,Wednesday,20,Part One,MORTON ST,42.28374593,-71.08938232,"(42.28374593, -71.08938232)"
1908,I182077958,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3,428,Y,2018-09-26 20:20:00,2018,9,Wednesday,20,Part Two,MORTON ST,42.28374593,-71.08938232,"(42.28374593, -71.08938232)"
2736,I182077113,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,276,Y,2018-09-24 06:20:00,2018,9,Monday,6,Part One,SHAWMUT AVE,42.33248759,-71.08365801,"(42.33248759, -71.08365801)"
2737,I182077113,1510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,B2,276,Y,2018-09-24 06:20:00,2018,9,Monday,6,Part Two,SHAWMUT AVE,42.33248759,-71.08365801,"(42.33248759, -71.08365801)"
2738,I182077113,3130,Search Warrants,SEARCH WARRANT,B2,276,Y,2018-09-24 06:20:00,2018,9,Monday,6,Part Three,SHAWMUT AVE,42.33248759,-71.08365801,"(42.33248759, -71.08365801)"
2739,I182077113,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B2,276,Y,2018-09-24 06:20:00,2018,9,Monday,6,Part Two,SHAWMUT AVE,42.33248759,-71.08365801,"(42.33248759, -71.08365801)"
2850,I182076987,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,156,Y,2018-09-23 13:53:00,2018,9,Sunday,13,Part One,W SPRINGFIELD ST,42.33795319,-71.0774931,"(42.33795319, -71.07749310)"
3026,I182076789,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,651,Y,2018-09-22 21:46:00,2018,9,Saturday,21,Part One,SOUTH ST,42.30512949,-71.11461873,"(42.30512949, -71.11461873)"
3697,I182076074,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,334,Y,2018-09-20 17:10:00,2018,9,Thursday,17,Part One,QUINCY ST,42.30947016,-71.06664424,"(42.30947016, -71.06664424)"
4072,I182075690,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,261,Y,2018-09-19 14:18:00,2018,9,Wednesday,14,Part One,JULIAN ST,42.31894677,-71.0745277,"(42.31894677, -71.07452770)"
5027,I182074638,3114,Investigate Property,INVESTIGATE PROPERTY,D4,157,Y,2018-09-16 03:17:00,2018,9,Sunday,3,Part Three,W NEWTON ST,42.34063708,-71.07572281,"(42.34063708, -71.07572281)"
5028,I182074638,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,157,Y,2018-09-16 03:17:00,2018,9,Sunday,3,Part One,W NEWTON ST,42.34063708,-71.07572281,"(42.34063708, -71.07572281)"
5098,I182074555,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,330,Y,2018-09-15 20:10:00,2018,9,Saturday,20,Part One,BLUE HILL AVE,42.30703587,-71.08410227,"(42.30703587, -71.08410227)"
