,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
723475,2005-02-11 05:30:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Friday,CENTRAL,NONE,400 Block of LOMBARD ST,-122.408952476667,37.8032784824035
50724,2014-09-07 14:08:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,PARK,NONE,800 Block of BURNETT AV,-122.44495547409201,37.7488029817107
620174,2006-07-27 13:15:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869
586069,2007-01-25 18:51:00,ASSAULT,BATTERY,Thursday,TENDERLOIN,"ARREST, BOOKED",200 Block of POWELL ST,-122.40820165725401,37.7868849113107
465221,2008-10-19 13:12:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,SOUTHERN,NONE,1ST ST / MISSION ST,-122.397576409113,37.7897619308836
317393,2010-12-29 00:41:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,MISSION,"ARREST, BOOKED",3000 Block of 16TH ST,-122.421082850193,37.764910844225994
343800,2010-08-10 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE,2200 Block of 25TH ST,-122.400904294494,37.7521005823086
486284,2008-07-09 18:43:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,TENDERLOIN,"ARREST, CITED",0 Block of UNITEDNATIONS PZ,-122.41431222924,37.77983391835871
203117,2012-09-04 08:30:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,PARK,NONE,1400 Block of GOLDEN GATE AV,-122.434445230029,37.7793019548371
455938,2008-12-09 16:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,2700 Block of LEAVENWORTH ST,-122.418777811843,37.8065668353152
772583,2004-05-28 12:36:00,WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED",100 Block of SOUTH VAN NESS AV,-122.41793840790702,37.77054137692421
636050,2006-05-05 12:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,TENDERLOIN,NONE,100 Block of STOCKTON ST,-122.40642786236,37.787109454290004
